"sample_name","sample_title","sample_control","specific_intertidal_location","temperature","salinity","geodeticDatum","lat_lon","collection_date","collection_date_local","unique_sample_identifier","depth","size_frac","samp_vol_we_dna_ext","organism","env_broad_scale","env_local_scale","env_medium","geo_loc_name","samp_mat_process","samp_collect_device","amplicon_sequenced","sample_storage_duration","sample_storage_location","sample_storage_temperature"
"CO1_G2.1012.b.S15.L001","Pillar Point intertidal seawater sample 1012.b","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1012.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F7.1057.a.S146.L001","Pillar Point intertidal seawater sample 1057.a","sample","N","13.3 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T00:30:00Z","2022-01-28T16:30:00PST","1057.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F8.1057.b.S154.L001","Pillar Point intertidal seawater sample 1057.b","sample","N","13.3 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T00:30:00Z","2022-01-28T16:30:00PST","1057.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F9.1057.c.S162.L001","Pillar Point intertidal seawater sample 1057.c","sample","N","13.3 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T00:30:00Z","2022-01-28T16:30:00PST","1057.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.G7.1058.a.S147.L001","Pillar Point intertidal seawater sample 1058.a","sample","N","15.4 °C","33 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T23:00:00Z","2022-01-28T15:00:00PST","1058.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.G8.1058.b.S155.L001","Pillar Point intertidal seawater sample 1058.b","sample","N","15.4 °C","33 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T23:00:00Z","2022-01-28T15:00:00PST","1058.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.G9.1058.c.S163.L001","Pillar Point intertidal seawater sample 1058.c","sample","N","15.4 °C","33 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T23:00:00Z","2022-01-28T15:00:00PST","1058.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F3.1041.c.S114.L001","Pillar Point intertidal seawater sample 1041.c","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1041.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_G7.1028.a.S55.L001","Pillar Point intertidal seawater sample 1028.a","sample","N","13.2 °C","33 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T20:00:00Z","2022-01-28T12:00:00PST","1028.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H7.1029.a.S56.L001","Pillar Point intertidal seawater sample 1029.a","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1029.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.A11.1060.b.S170.L001","Pillar Point intertidal seawater sample 1060.b","sample","N","15 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:30:00Z","2022-01-28T14:30:00PST","1060.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.A12.1060.c.S176.L001","Pillar Point intertidal seawater sample 1060.c","sample","N","15 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:30:00Z","2022-01-28T14:30:00PST","1060.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.A10.1060.a.S165.L001","Pillar Point intertidal seawater sample 1060.a","sample","N","15 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:30:00Z","2022-01-28T14:30:00PST","1060.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_E10.1034.a.S77.L001","Pillar Point intertidal seawater sample 1034.a","sample","N","13.7 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T20:30:00Z","2022-01-28T12:30:00PST","1034.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_E12.1034.c.S90.L001","Pillar Point intertidal seawater sample 1034.c","sample","N","13.7 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T20:30:00Z","2022-01-28T12:30:00PST","1034.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_F12.1035.c.S91.L001","Pillar Point intertidal seawater sample 1035.c","sample","N","14.6 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T21:30:00Z","2022-01-28T13:30:00PST","1035.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.C11.1062.b.S172.L001","Pillar Point intertidal seawater sample 1062.b","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1062.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.C12.1062.c.S178.L001","Pillar Point intertidal seawater sample 1062.c","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1062.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.C10.1062.a.S167.L001","Pillar Point intertidal seawater sample 1062.a","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1062.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F6.1049.c.S138.L001","Pillar Point intertidal seawater sample 1049.c","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1049.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F2.1041.b.S106.L001","Pillar Point intertidal seawater sample 1041.b","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1041.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D7.1055.a.S144.L001","Pillar Point intertidal seawater sample 1055.a","sample","N","15.2 °C","32.8 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T21:00:00Z","2022-01-28T13:00:00PST","1055.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D8.1055.b.S152.L001","Pillar Point intertidal seawater sample 1055.b","sample","N","15.2 °C","32.8 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T21:00:00Z","2022-01-28T13:00:00PST","1055.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.H5.1051.b.S132.L001","Pillar Point intertidal seawater sample 1051.b","sample","N","13.7 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T00:00:00Z","2022-01-28T16:00:00PST","1051.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.H6.1051.c.S140.L001","Pillar Point intertidal seawater sample 1051.c","sample","N","13.7 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T00:00:00Z","2022-01-28T16:00:00PST","1051.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.H4.1051.a.S124.L001","Pillar Point intertidal seawater sample 1051.a","sample","N","13.7 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T00:00:00Z","2022-01-28T16:00:00PST","1051.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_D8.1025.b.S60.L001","Pillar Point intertidal seawater sample 1025.b","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1025.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_D9.1025.c.S68.L001","Pillar Point intertidal seawater sample 1025.c","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1025.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_G3.1012.c.S23.L001","Pillar Point intertidal seawater sample 1012.c","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1012.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H12.NTC.1.S92.L001","PCR no-template control NTC.1","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","NTC.1","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","PCR no-template control for first PCR reaction: dx.doi.org/10.17504/protocols.io.dm6gp3wpdvzp/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.H12.NTC.2.S181.L001","PCR no-template control NTC.2","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","NTC.2","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","PCR no-template control for first PCR reaction: dx.doi.org/10.17504/protocols.io.dm6gp3wpdvzp/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_A2.1006.b.S9.L001","Pillar Point intertidal seawater sample 1006.b","sample","S1","16.2 °C","33.2 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-28T23:00:00Z","2022-01-28T15:00:00PST","1006.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_D3.1009.c.S20.L001","Pillar Point intertidal seawater sample 1009.c","sample","S1","15.2 °C","33.5 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1009.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.B9.1053.c.S158.L001","Pillar Point intertidal seawater sample 1053.c","sample","S1","15.2 °C","33.5 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1053.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D4.1047.a.S120.L001","Pillar Point intertidal seawater sample 1047.a","sample","S1","15.2 °C","33.5 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1047.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_A3.1006.c.S17.L001","Pillar Point intertidal seawater sample 1006.c","sample","S1","16.2 °C","33.2 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-28T23:00:00Z","2022-01-28T15:00:00PST","1006.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_A1.1006.a.S1.L001","Pillar Point intertidal seawater sample 1006.a","sample","S1","16.2 °C","33.2 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-28T23:00:00Z","2022-01-28T15:00:00PST","1006.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_D2.1009.b.S12.L001","Pillar Point intertidal seawater sample 1009.b","sample","S1","15.2 °C","33.5 ppt","EPSG:4326","37.495306 N 122.498744 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1009.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
